Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
SNX,Synnex Corporation,47.15,1770602167,n/a,2003,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/snx
SNV,Synovus Financial Corp.,3.03,2403801865,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/snv
GJD,SYNTHETIC FIXED INCOME SECURITIES INC,24.52,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gjd
GJH,SYNTHETIC FIXED INCOME SECURITIES INC,9.69,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gjh
GJJ,SYNTHETIC FIXED INCOME SECURITIES INC,25.08,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gjj
GJK,SYNTHETIC FIXED INCOME SECURITIES INC,25.23,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gjk
GJO,SYNTHETIC FIXED INCOME SECURITIES INC,19.7,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gjo
GJS,SYNTHETIC FIXED INCOME SECURITIES INC,17.01,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gjs
GJP,"Synthetic Fixed-Income Securities, Inc.",22.97,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gjp
GJR,"Synthetic Fixed-Income Securities, Inc.",19.78,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gjr
GJT,"Synthetic Fixed-Income Securities, Inc.",17.96,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gjt
GJV,"Synthetic Fixed-Income Securities, Inc.",25,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gjv
SYY,Sysco Corporation,35.6,21128098218,n/a,1970,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/syy
SYX,Systemax Inc.,9.32,341899279,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/syx
DATA,"Tableau Software, Inc.",53.5,3077026178,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/data
TAHO,"Tahoe Resources, Inc.",13.94,2032143508,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/taho
TWN,"Taiwan Fund, Inc. (The)",17.02,145287979.2,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/twn
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,18.44,95623319616,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/tsm
XRS,TAL Education Group,10.61,828217395.8,n/a,2010,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/xrs
TAL,"TAL International Group, Inc.",42.72,1445835502,n/a,2005,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/tal
TLM,Talisman Energy Inc.,11.47,11866352548,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tlm
TEP,"Tallgrass Energy Partners, LP",21.75,880875000,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/tep
TAM,Taminco Corporation,20.02,1305868584,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/tam
SKT,"Tanger Factory Outlet Centers, Inc.",34.85,3290367524,n/a,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/skt
TAOM,Taomee Holdings Limited,4.14,151300241.3,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/taom
NGLS,Targa Resources Partners LP,53.17,5464656652,n/a,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/ngls
TRGP,"Targa Resources, Inc.",68.48,2898757510,n/a,2010,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/trgp
TGT,Target Corporation,72.56,46561987457,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/tgt
TARO,Taro Pharmaceutical Industries Ltd.,59.36,2657449078,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/taro
TTM,Tata Motors Ltd,24.3,15423436330,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/ttm
TCO,"Taubman Centers, Inc.",77.53,4943961183,n/a,1992,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/tco
TCO^J,"Taubman Centers, Inc.",24.828,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tco^j
TCO^K,"Taubman Centers, Inc.",24.1,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tco^k
TMHC,Taylor Morrison Home Corporation,25.89,3166579078,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/tmhc
TCP,"TC PipeLines, LP",52.03,3242913665,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/tcp
TCB,TCF Financial Corporation,15.29,2504656383,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcb
TCB/WS,TCF Financial Corporation,2.46,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tcb/ws
TCB^B,TCF Financial Corporation,25.64,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tcb^b
TCB^C,TCF Financial Corporation,24.31,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tcb^c
TSI,"TCW Strategic Income Fund, Inc.",5.42,258046086.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tsi
AMTD,TD Ameritrade Holding Corporation,25.95,14277052850,n/a,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/amtd
TEL,TE Connectivity Ltd.,47.46,19716183218,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/tel
TMH,"Team Health Holdings, Inc.",40.62,2790103310,n/a,2009,Technology,Professional Services,http://www.nasdaq.com/symbol/tmh
TISI,"Team, Inc.",40.82,840394322.6,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/tisi
TCK,Teck Resources Ltd,21.98,12481617025,n/a,1991,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/tck
TE,"TECO Energy, Inc.",17.56,3820761449,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/te
TK,Teekay Corporation,40.78,2863061932,n/a,1995,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/tk
TGP,Teekay LNG Partners L.P.,44.91,3129497796,n/a,2005,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/tgp
TOO,Teekay Offshore Partners L.P.,34.87,2793296220,n/a,2006,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/too
TOO^A,Teekay Offshore Partners L.P.,25.47,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/too^a
TNK,Teekay Tankers Ltd.,2.96,247429448.8,n/a,2007,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/tnk
TRC,Tejon Ranch Co,31.76,639387397.2,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/trc
TEO,Telecom Argentina Stet - France Telecom S.A.,14.62,2878329971,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/teo
TI,Telecom Italia S.P.A.,6.51,12551764110,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/ti
TI/A,Telecom Italia S.P.A.,5.2,0,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/ti/a
TDY,Teledyne Technologies Incorporated,79.96,2987835735,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tdy
TFX,Teleflex Incorporated,79.11,3252291526,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/tfx
VIV,Telefonica Brasil S.A.,20.89,23465094507,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/viv
TEF,Telefonica SA,12.87,58571686422,n/a,1988,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/tef
TDA,"Telephone and Data Systems, Inc.",23.41,0,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/tda
TDE,"Telephone and Data Systems, Inc.",25.22,0,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/tde
TDI,"Telephone and Data Systems, Inc.",24.97,0,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/tdi
TDJ,"Telephone and Data Systems, Inc.",25.183,0,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/tdj
TDS,"Telephone and Data Systems, Inc.",24.18,2613306237,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/tds
TU,TELUS Corporation,30.58,20001992845,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/tu
TDF,"Templeton Dragon Fund, Inc.",25.94,982434102.4,n/a,1994,n/a,n/a,http://www.nasdaq.com/symbol/tdf
EMF,Templeton Emerging Markets Fund,17.61,318478734.3,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/emf
TEI,"Templeton Emerging Markets Income Fund, Inc.",14.16,675677208.7,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/tei
GIM,"Templeton Global Income Fund, Inc.",8.41,1120500547,n/a,1988,n/a,n/a,http://www.nasdaq.com/symbol/gim
TRF,"Templeton Russia Fund, Inc.",14.01,80489887.74,n/a,1995,n/a,n/a,http://www.nasdaq.com/symbol/trf
TPX,"Tempur Sealy International, Inc.",46.32,2795364893,n/a,2003,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/tpx
