Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
ACHN,"Achillion Pharmaceuticals, Inc.",6.95,671068641.1,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",47.64,1898429799,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACNB,ACNB Corporation,17.15,102387729.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",37.73,1530558500,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ACFN,"Acorn Energy, Inc.",8.6,155578609.6,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acfn
ACTS,"Actions Semiconductor Co., Ltd.",2.9,249400000,n/a,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
ACPW,"Active Power, Inc.",4.16,80124112.64,n/a,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw
ATVI,"Activision Blizzard, Inc",15.01,16774303153,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
BIRT,Actuate Corporation,7.38,349259732.5,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/birt
ACUR,"Acura Pharmaceuticals, Inc.",1.86,86258402.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur
ACXM,Acxiom Corporation,25.94,1919346203,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADUS,Addus HomeCare Corporation,23.03,250829817.1,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",2.34,23396443.2,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
ADEP,"Adept Technology, Inc.",3.68,40064855.52,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep
ADBE,Adobe Systems Incorporated,48.39,24304425759,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",24.82,1471170678,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADES,"Advanced Emissions Solutions, Inc.",42.45,427214083.2,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",22.07,866407463.4,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
ADVS,"Advent Software, Inc.",26.84,1379371721,n/a,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs
AEGR,"Aegerion Pharmaceuticals, Inc.",77.41,2230887383,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr
AEGN,Aegion Corp,24.34,952242428.9,n/a,2000,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AEHR,Aehr Test Systems,1.97,20726344.39,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AEPI,AEP Industries Inc.,76.76,429646138.2,n/a,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi
AVAV,"AeroVironment, Inc.",20.58,465402602.7,n/a,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,1.93,50253816.71,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
ATRM,Aetrium Incorporated,0.49,5282910.99,n/a,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/atrm
AFCE,"AFC Enterprises, Inc.",38.33,915234809.1,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/afce
AFFX,"Affymetrix, Inc.",5.17,367578500.5,n/a,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx
AGEN,Agenus Inc.,3.71,105014069.1,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGYS,"Agilysys, Inc.",11.59,259814942.4,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AIRM,Air Methods Corporation,36.92,1435482311,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
AIRT,"Air T, Inc.",10.35,25319060.1,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",6.65,429491633.2,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AMCN,AirMedia Group Inc,1.77,108069548.3,n/a,1995,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AIXG,Aixtron SE,16.41,1657424556,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg
AKAM,"Akamai Technologies, Inc.",44.92,7982304528,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKRX,"Akorn, Inc.",14.34,1377936809,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
ALSK,"Alaska Communications Systems Group, Inc.",1.8,83784677.4,n/a,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
AMRI,"Albany Molecular Research, Inc.",13.64,428542965.8,n/a,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
ALCS,"ALCO Stores, Inc.",10.04,32711956.52,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/alcs
ADHD,Alcobra Ltd.,10.69,118946390,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ALXN,"Alexion Pharmaceuticals, Inc.",114.26,22297454401,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALXA,"Alexza Pharmaceuticals, Inc.",4.46,70451743.3,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa
ALCO,"Alico, Inc.",43.8,319723312.2,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",39.2,3197040006,n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",5.12,161644999.7,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALKS,Alkermes plc,30.57,4108027139,n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ALGT,Allegiant Travel Company,99.12,1891665056,n/a,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",14.38,74115008.92,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/allb
AFOP,"Alliance Fiber Optic Products, Inc.",30.71,265826742.7,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop
AIQ,"Alliance HealthCare Services, Inc.",16.69,177388062.8,n/a,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AHGP,"Alliance Holdings GP, L.P.",62.37,3733655310,n/a,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
ARLP,"Alliance Resource Partners, L.P.",73.04,2699781464,n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",2.93,23519540.71,n/a,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",7.04,62298670.72,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
ALLT,Allot Communications Ltd.,13.51,440619963.1,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",15.52,2751124864,n/a,1999,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,19.43,181791276.9,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",50.04,3111038691,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,7.79,198657347.2,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
ATEC,"Alphatec Holdings, Inc.",2.175,210285903.5,n/a,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
ASDR,ALPS ETF Trust VelocityShares Emerging Asia DR ETF,46.63,4662813.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asdr
EMDR,ALPS ETF Trust VelocityShares Emerging Markets DR ETF,42.86,2143000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emdr
RUDR,ALPS ETF Trust VelocityShares Russia Select DR ETF,46.97,2348734.85,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rudr
ALTI,Altair Nanotechnologies Inc.,2.28,26425352.76,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alti
ALTR,Altera Corporation,35.05,11220920775,n/a,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr
ASPS,Altisource Portfolio Solutions S.A.,97.85,2267861426,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
APSA,Alto Palermo S.A.,17.35,54658589.85,n/a,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/apsa
AIMC,"Altra Holdings, Inc.",29.93,808110987.7,n/a,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
ALVR,Alvarion Ltd.,0.45,4023952.2,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alvr
AMAG,"AMAG Pharmaceuticals, Inc.",23.83,514132130.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation PLC,5.265,791392801.1,n/a,1995,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMZN,"Amazon.com, Inc.",307.55,1.4001E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",23.89,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",12.5,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",17.79,484927540.9,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
EPAX,"Ambassadors Group, Inc.",3.43,58134459.46,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/epax
AMBT,Ambient Corporation,3.63,60492327.39,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ambt
AMBI,Ambit Biosciences Corporation,10.79,191118500.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ambi
AMCX,AMC Networks Inc.,68.6,4952183236,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
AMED,Amedisys Inc,11.27,354609637.1,n/a,1987,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,171,3352931748,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
ASBI,Ameriana Bancorp,10.45,31234548.4,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbi
ATAX,"America First Tax Exempt Investors, L.P.",6.73,287861805.4,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",21.24,80541018000,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AGNC,American Capital Agency Corp.,21.9,8682287193,n/a,1983,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCP,American Capital Agency Corp.,25.05,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
MTGE,American Capital Mortgage Investment Corp.,17.57,1036138022,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge
ACAS,"American Capital, Ltd.",13.43,4070575815,n/a,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas
ANCI,American Caresource Holdings Inc,1.9,10842241.7,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/anci
AETI,"American Electric Technologies, Inc.",8.7,69613711.2,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AMIC,American Independence Corp.,7.5,60544110,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic
AMNB,"American National Bankshares, Inc.",23.84,187446791.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,105.45,2835910295,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
APFC,American Pacific Corporation,30.1,236783847.3,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apfc
APEI,"American Public Education, Inc.",40.23,708254460.4,n/a,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",32.05,684341118.9,n/a,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
ARCP,"American Realty Capital Properties, Inc.",14.6,2257301313,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcp
AMRB,American River Bankshares,8.57,76299686.98,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
ASEI,"American Science and Engineering, Inc.",60.71,473043759.9,n/a,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei
AMSWA,"American Software, Inc.",8.94,243478781.2,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,2.64,159623096.2,n/a,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,38.93,580988594.9,n/a,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",45.65,412747807.5,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,17.99,429541473.2,n/a,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",37.35,686842857.5,n/a,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,3.03,58079609.64,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,26.04,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
ASCA,"Ameristar Casinos, Inc.",26.43,873456419.9,n/a,1993,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/asca
ATLO,Ames National Corporation,23.04,214523435.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,104.27,78200055494,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",2.36,117130745.9,n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",4.51,690779516.9,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMSG,Amsurg Corp.,38.65,1236516966,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg
ASYS,"Amtech Systems, Inc.",7.21,68777877.14,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
AFSI,"AmTrust Financial Services, Inc.",39.25,2645681968,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AMRS,"Amyris, Inc.",2.94,222735740.6,n/a,1992,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
ANAC,"Anacor Pharmaceuticals, Inc.",6.75,273454535.3,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anac
ANAD,"ANADIGICS, Inc.",2.21,181859885.6,n/a,1995,Technology,Semiconductors,http://www.nasdaq.com/symbol/anad
ADI,"Analog Devices, Inc.",48.35,14899797864,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ALOG,Analogic Corporation,71.44,875146858.2,n/a,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ANLY,Analysts International Corporation,3.9352,20109371.77,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/anly
ANEN,"Anaren, Inc.",23.61,312219914.9,n/a,1972,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/anen
ANCB,Anchor Bancorp,18,45900000,n/a,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb
AMCF,Andatee China Marine Fuel Services Corporation,0.53,5093384.27,n/a,2010,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/amcf
ANDA,Andina Acquisition Corporation,9.93,52132500,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/anda
ANDAU,Andina Acquisition Corporation,10.08,16632010.08,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corporation,0.24,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andaw
ANGI,"Angie&#39;s List, Inc.",24.88,1445617916,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
ANGO,"AngioDynamics, Inc.",12.09,423748624.3,n/a,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIK,Anika Therapeutics Inc.,20,279925000,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
ANSS,"ANSYS, Inc.",78.86,7350306070,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
ATRS,"Antares Pharma, Inc.",4.54,572836375,n/a,2002,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
ANTH,"Anthera Pharmaceuticals, Inc.",0.51,77837120.55,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
APAGF,Apco Oil and Gas International Inc.,13.66,402167338.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apagf
ATNY,API Technologies Corp.,2.79,152923301,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/atny
APOG,"Apogee Enterprises, Inc.",26.95,774507992,n/a,1971,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
APOL,"Apollo Group, Inc.",18.49,2086319150,n/a,1994,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apol
AINV,Apollo Investment Corporation,8.14,1829394597,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv
AAPL,Apple Inc.,426.51,4.00343E+11,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
ARCI,"Appliance Recycling Centers of America, Inc.",2.63,14612088.01,n/a,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci
AMAT,"Applied Materials, Inc.",16.66,20018667262,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AMCC,Applied Micro Circuits Corporation,9.46,664638665,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/amcc
AREX,Approach Resources Inc.,26.62,1033953436,n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex
APRI,"Apricus Biosciences, Inc",2.28,69636774.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apri
AQU,Aquasition Corp.,9.9,72324450,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/aqu
AQUUU,Aquasition Corp.,10.161,66938127.75,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/aquuu
AQUUW,Aquasition Corp.,0.24,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/aquuw
PETX,"Aratana Therapeutics, Inc.",8.51,169006608.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/petx
ARCW,"ARC Group Worldwide, Inc.",5.2,29497613.6,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/arcw
ABIO,"ARCA biopharma, Inc.",1.38,4396075.56,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/abio
ACGL,Arch Capital Group Ltd.,53.86,7167612103,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl
ACAT,Arctic Cat Inc.,49.96,660055982.4,n/a,1990,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/acat
ARDNA,"Arden Group, Inc.",111.25,341648750,n/a,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/ardna
ARNA,"Arena Pharmaceuticals, Inc.",7.2,1567994926,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arna
ARCC,Ares Capital Corporation,17.62,4722920426,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/arcc
AGII,"Argo Group International Holdings, Ltd.",45.11,1226154849,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agii
AGIIL,"Argo Group International Holdings, Ltd.",23.8694,0,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agiil
ARIA,"ARIAD Pharmaceuticals, Inc.",21.15,3906205048,n/a,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aria
ARKR,Ark Restaurants Corp.,20.55,66681564.75,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/arkr
ABFS,Arkansas Best Corporation,22.87,587986007.6,n/a,1992,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/abfs
ARMH,ARM Holdings plc,41.12,19156074545,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/armh
ARTX,Arotech Corporation,1.44,23402553.12,n/a,1994,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/artx
ARQL,"ArQule, Inc.",2.74,171589847.7,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arql
ARRY,Array BioPharma Inc.,5.53,646094619.1,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arry
ARRS,"ARRIS Group, Inc.",15.5,2135770064,n/a,1993,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs
AROW,Arrow Financial Corporation,25.87,313218360.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/arow
ARWR,Arrowhead Research Corporation,2.34,73254441.78,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/arwr
ARTNA,Artesian Resources Corporation,23.73,207457745.3,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/artna
ARTC,ArthroCare Corporation,36.83,1038560552,n/a,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/artc
